protocol,arch,bsz,optimizer,compile,fullepochruntime,train_runtime,eval_runtime
baseline,swin_t,320,adamw,False,2007.192,1928.4,78.792
baseline,vit_m_cvst,320,adamw,False,2361.143,2296.286,64.857
baseline,vit_m,448,adamw,False,1728.759,1669.581,59.178
baseline,vit_m_cvst,320,adamw,True,1821.077,1779.138,41.939
baseline,swin_t,320,adamw,True,1904.319,1862.298,42.022
baseline,vit_s_cvst,448,adamw,False,1971.972,1901.444,70.529
baseline,vit_m,448,adamw,True,1550.263,1508.389,41.874
madry,vit_m_cvst,320,adamw,False,6299.756,6203.826,95.93
madry,swin_t,320,adamw,False,6253.104,6191.695,61.409
madry,vit_m,448,adamw,False,4683.481,4621.305,62.176
baseline,vit_s_cvst,448,adamw,True,1709.401,1662.938,46.463
baseline,vit_s,704,adamw,False,1762.156,1696.89,65.266
madry,vit_m_cvst,320,adamw,True,4039.345,3992.174,47.171
madry,vit_m,448,adamw,True,3901.952,3850.129,51.823
madry,vit_s_cvst,448,adamw,False,4986.815,4921.951,64.864
madry,swin_t,320,adamw,True,4118.052,4073.447,44.605
baseline,vit_s,704,adamw,True,1194.965,1157.704,37.261
trades,vit_m_cvst,320,adamw,False,10387.49,10319.904,67.586
trades,swin_t,320,adamw,False,10183.255,10116.912,66.343
trades,vit_m,448,adamw,False,8351.552,8288.619,62.934
madry,vit_s_cvst,448,adamw,True,3235.765,3180.862,54.903
madry,vit_s,704,adamw,False,2973.536,2909.573,63.963
trades,vit_m_cvst,320,adamw,True,9298.706,9238.194,60.512
madry,vit_s,704,adamw,True,2599.363,2545.322,54.041
trades,vit_s_cvst,448,adamw,False,8136.852,8073.315,63.538
trades,vit_m,448,adamw,True,8613.912,8569.223,44.689
trades,swin_t,320,adamw,True,8910.132,8873.384,36.748
baseline,swin_b,128,adamw,False,3870.393,3808.657,61.736
trades,vit_s,704,adamw,False,5494.761,5436.264,58.498
trades,vit_s_cvst,448,adamw,True,6660.484,6607.592,52.892
baseline,swin_b,128,adamw,True,2955.495,2914.159,41.336
trades,vit_s,704,adamw,True,5853.609,5793.155,60.454
madry,swin_b,128,adamw,False,12116.986,12057.473,59.512
madry,swin_b,128,adamw,True,8574.238,8530.652,43.586
trades,swin_b,128,adamw,False,21263.048,21204.365,58.682
trades,swin_b,128,adamw,True,19964.431,19919.004,45.427
