protocol,arch,bsz,optimizer,compile,fullepochruntime,train_runtime,eval_runtime
baseline,vit_m_cvst,704,adamw,False,1616.192,1553.635,62.557
baseline,vit_m_cvst,704,adamw,True,1277.87,1241.199,36.671
madry,vit_m_cvst,704,adamw,False,4047.247,3989.354,57.893
madry,vit_m_cvst,704,adamw,True,2569.389,2511.137,58.252
baseline,vit_s_cvst,896,adamw,False,2098.093,2026.193,71.9
trades,vit_m_cvst,704,adamw,False,6546.956,6483.244,63.713
baseline,vit_m,960,adamw,False,1445.137,1386.627,58.511
baseline,vit_s_cvst,896,adamw,True,2188.964,2140.425,48.539
trades,vit_m_cvst,704,adamw,True,5754.134,5703.395,50.739
baseline,vit_m,960,adamw,True,1235.368,1193.272,42.096
madry,vit_s_cvst,896,adamw,False,3328.663,3261.784,66.879
madry,vit_m,960,adamw,False,2711.507,2654.33,57.176
madry,vit_m,960,adamw,True,2349.339,2290.135,59.204
madry,vit_s_cvst,896,adamw,True,2269.458,2192.366,77.091
baseline,swin_t,704,adamw,False,1501.303,1446.822,54.48
trades,vit_s_cvst,896,adamw,False,4971.691,4900.756,70.935
trades,vit_m,960,adamw,False,4889.646,4828.713,60.933
baseline,swin_t,704,adamw,True,1245.526,1209.495,36.032
trades,vit_s_cvst,896,adamw,True,4440.752,4376.083,64.669
trades,vit_m,960,adamw,True,5101.472,5052.879,48.593
madry,swin_t,704,adamw,False,4243.182,4189.448,53.734
baseline,vit_s,1408,adamw,False,1882.966,1811.643,71.323
madry,swin_t,704,adamw,True,2869.948,2821.922,48.027
baseline,swin_b,320,adamw,False,2592.5,2513.13,79.37
trades,swin_t,704,adamw,False,6167.158,6113.386,53.772
baseline,vit_s,1408,adamw,True,1201.64,1147.994,53.647
baseline,swin_b,320,adamw,True,1907.987,1863.712,44.275
madry,swin_b,320,adamw,False,8350.744,8277.239,73.506
trades,swin_t,704,adamw,True,5396.577,5342.646,53.931
madry,vit_s,1408,adamw,False,2065.917,1996.886,69.032
madry,swin_b,320,adamw,True,5541.644,5499.177,42.467
madry,vit_s,1408,adamw,True,1781.386,1715.966,65.42
trades,swin_b,320,adamw,False,13202.137,13132.091,70.047
trades,swin_b,320,adamw,True,11849.519,11804.004,45.514
trades,vit_s,1408,adamw,False,3440.801,3370.44,70.361
trades,vit_s,1408,adamw,True,3611.529,3548.587,62.942
