model_name,arch,init,protocol,init_mode,epoch_variant,dependency_model_name,threat_norm,threat_eps,priority,is_test,notes,resume_offset_assumed,model,model.experiment_name,model.experiment_num,model.v1_noise_mode,model.compile_model,output_dir,training.epochs,training.batch_size,attacks.advtrain,attacks.attack_criterion,attacks.attack_norm,attacks.attack_domain,attacks.attack_eps,attacks.attack_it,attacks.v1_attack_eps,attacks.gradnorm,attacks.gradnorm_penalty_norm,dataset.dvd.enabled,dataset.dvd.variant,continuation.enabled,continuation.use_ema,checkpointing.save_best_adv,epsilon_schedule.enabled,epsilon_schedule.type,epsilon_schedule.source_epsilon,epsilon_schedule.target_epsilon,epsilon_schedule.warmup_epochs,epsilon_schedule.ramp_start_epoch,epsilon_schedule.ramp_end_epoch,epsilon_schedule.fixed_start_epoch,dataset.mixup_active,optimizer.weight_decay,lr_scheduler.lrb,lr_scheduler.warmup_epochs
convnext_base_dvd_b_linf_cont4to6_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_linf_4_init1,linf,6,4051,,cont 4->6 from convnext_base_dvd_b_linf_4_init1 (resume),200,convnext_base,convnext_base_dvd_b_linf_cont4to6_init1_contepoch,1,,True,results/models,240,512,True,madry,linf,,6,5,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,230,231,,,1e-4,
convnext_base_dvd_b_linf_cont4to8_init1_contepoch,convnext_base,1,madry,resume,contepoch,convnext_base_dvd_b_linf_4_init1,linf,8,4052,,cont 4->8 from convnext_base_dvd_b_linf_4_init1 (resume),200,convnext_base,convnext_base_dvd_b_linf_cont4to8_init1_contepoch,1,,True,results/models,240,512,True,madry,linf,,8,5,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,230,231,,,1e-4,
convnext_base_dvd_b_linftrades_2_init0,convnext_base,0,trades,scratch,,,linf,2,5019,,trades+dvd_b linf eps2 scratch,,convnext_base,convnext_base_dvd_b_linftrades_2_init0,0,,,results/models,200,256,True,trades,linf,,2,,,,,true,dvd-b,,,true,,,,,,,,,,,1e-4,
convnext_base_dvd_b_linftrades_4_init0,convnext_base,0,trades,scratch,,,linf,4,5020,,trades+dvd_b linf eps4 scratch,,convnext_base,convnext_base_dvd_b_linftrades_4_init0,0,,,results/models,200,256,True,trades,linf,,4,5,,,,true,dvd-b,,,true,,,,,,,,,,,1e-4,
convnext_base_dvd_b_linftrades_cont4to6_init0_contepoch,convnext_base,0,trades,resume,contepoch,convnext_base_dvd_b_linftrades_4_init0,linf,6,5024,,cont 4->6 from convnext_base_dvd_b_linftrades_4_init0 (resume),200,convnext_base,convnext_base_dvd_b_linftrades_cont4to6_init0_contepoch,0,,,results/models,240,256,True,trades,linf,,6,5,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,230,231,,,1e-4,
convnext_base_dvd_b_linftrades_cont4to8_init0_contepoch,convnext_base,0,trades,resume,contepoch,convnext_base_dvd_b_linftrades_4_init0,linf,8,5025,,cont 4->8 from convnext_base_dvd_b_linftrades_4_init0 (resume),200,convnext_base,convnext_base_dvd_b_linftrades_cont4to8_init0_contepoch,0,,,results/models,240,256,True,trades,linf,,8,5,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,230,231,,,1e-4,
convnext_base_dvd_b_l1trades_4_init1,convnext_base,1,trades,scratch,,,l1,4,5029,,trades+dvd_b l1 eps4 scratch,,convnext_base,convnext_base_dvd_b_l1trades_4_init1,1,,,results/models,200,256,True,trades,l1,,4,5,,,,true,dvd-b,,,true,,,,,,,,,,,1e-4,
convnext_base_dvd_b_l1trades_cont4to6_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_l1trades_4_init1,l1,6,5033,,cont 4->6 from convnext_base_dvd_b_l1trades_4_init1 (resume),200,convnext_base,convnext_base_dvd_b_l1trades_cont4to6_init1_contepoch,1,,,results/models,240,256,True,trades,l1,,6,5,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,6,204,205,230,231,,,1e-4,
convnext_base_dvd_b_l1trades_cont4to8_init1_contepoch,convnext_base,1,trades,resume,contepoch,convnext_base_dvd_b_l1trades_4_init1,l1,8,5034,,cont 4->8 from convnext_base_dvd_b_l1trades_4_init1 (resume),200,convnext_base,convnext_base_dvd_b_l1trades_cont4to8_init1_contepoch,1,,,results/models,240,256,True,trades,l1,,8,5,,,,true,dvd-b,,true,true,true,warmup_ramp_fixed,4,8,204,205,230,231,,,1e-4,
convnext_base_dvd_b_l2trades_2_init1,convnext_base,1,trades,scratch,,,l2,2,5037,,trades+dvd_b l2 eps2 scratch,,convnext_base,convnext_base_dvd_b_l2trades_2_init1,1,,,results/models,200,256,True,trades,l2,,2,,,,,true,dvd-b,,,true,,,,,,,,,,,1e-4,
